quarter|time|home action|score|diff|away action
Q4|8:26|16 JOVIC S. Steal.|||8 CHRISTEN R. Turnover, Bad pass
Q4|8:25|4 RATHAN-MAYES X. 2Pts FG fast break, Lay-up made, 16 JOVIC S. Assist|76-65|+11|HARMSEN B. Timeout
Q4|8:25||||8 CHRISTEN R. Substitute out, 25 BANK L. Substitute in
Q4|8:13|5 GIFFEY N. Blocked shot, 4 RATHAN-MAYES X. Defensive rebound|||13 BRAXTON JR K. 2PtsFG inside paint, Lay-up blocked
Q4|7:56|5 GIFFEY N. Offensive foul (P1, T1)|||33 WASHINGTON E. Foul drawn
Q4|7:45|44 BALDWIN K. Steal|||25 BANK L. Turnover, Bad pass
Q4|7:42|44 BALDWIN K. 2Pts FG fast break, Dunk made|78-65|+13|
Q4|7:19||||0 DUNN-MARTIN T. 3PtsFG missed, 15 BOHANNON N. Offensive rebound
Q4|7:16||78-67|+11|15 BOHANNON N. 2PtsFG inside paint, Lay-up made
Q4|7:05|1 DA SILVA O. 2PtsFG inside paint, Lay-up made, 5 GIFFEY N. Assist|80-67|+13|13 BRAXTON JR K. Personal foul, 1 free throw awarded (P3,T1)
Q4|7:05|1 DA SILVA O. Foul drawn|||
Q4|7:05||||0 DUNN-MARTIN T. Substitute out, 1 OSOBOR G. Substitute in
Q4|7:05||||25 BANK L. Substitute out, 5 CARTER C. Substitute in
Q4|7:05|1 DA SILVA O. Free Throw made 1 of 1|81-67|+14|
Q4|6:50|4 RATHAN-MAYES X. Defensive rebound|||1 OSOBOR G. 3PtsFG missed
Q4|6:35|1 DA SILVA O. Foul drawn|||13 BRAXTON JR K. Personal foul (P4, T2)
Q4|6:35|HERBERT G. Timeout|||13 BRAXTON JR K. Substitute out, 36 KRAUSE K. Substitute in
Q4|6:27|5 GIFFEY N. 3PtsFG made, 16 JOVIC S. Assist|84-67|+17|
Q4|6:05|4 RATHAN-MAYES X. Defensive rebound|||33 WASHINGTON E. 2Pts FG outside paint, Jump shot missed
Q4|6:01|1 DA SILVA O. Offensive foul (P3,T2)|||36 KRAUSE K. Foul drawn
Q4|6:01|16 JOVIC S. Substitute out, 11 LUCIC V. Substitute in|||
Q4|5:36|11 LUCIC V. Defensive rebound|||5 CARTER C. 3PtsFG missed
Q4|5:27|44 BALDWIN K. 3PtsFG missed|||15 BOHANNON N. Defensive rebound
Q4|5:24|4 RATHAN-MAYES X. Blocked shot|||1 OSOBOR G. 2PtsFG inside paint, Lay-up blocked, 5 CARTER C. Offensive rebound
Q4|5:22||84-69|+15|5 CARTER C. 2PtsFG fast break, Lay-up made
Q4|5:08|4 RATHAN-MAYES X. Foul drawn|||36 KRAUSE K. Personal foul (P1,T3)
Q4|5:08|44 BALDWIN K. Substitute out, 10 JESSUP J. Substitute in|||
Q4|5:01|5 GIFFEY N. Foul drawn|||15 BOHANNON N. Personal foul (P4,T4)
