Quarter|Time|Home Action|Score|Diff|Away Action
Q3|00:52||58-50|+8|9 ZIPSER P. Free Throw made 1 of 2
Q3|00:52|41 PANDI L. Defensive rebound|||9 ZIPSER P. Free Throw missed 2 of 2
Q3|00:44|5 BAMBA T. 2PtsFG fast break, Lay-up made|60-50|+10|
Q3|00:21||||21 SERIC M. 2PtsFG inside paint, Lay-up missed
Q3|00:19|Defensive Team rebound|||
Q3|00:00|12 KUHSE T. 3PtsFG missed, 23 DANDRIDGE M. Offensive rebound|||
Q4|10:00|Starters: 5 BAMBA T, 6 VAN SLOOTEN L, 12 KUHSE T, 23 DANDRIDGE M, 41 PANDI L.|||Starters: 00 WEATHERS M, 0 HORNE D, 6 FLOWERS M, 12 OSUNNIYI O, 21 SERIC M.
Q4|10:00||||Alternating Possession Gained
Q4|09:48|23 DANDRIDGE M. Defensive rebound|||0 HORNE D. 3PtsFG missed
Q4|09:30|5 BAMBA T. 3PtsFG made, 12 KUHSE T. Assist|63-50|+13|
Q4|09:12|12 KUHSE T. Foul drawn|||WEATHERS M. Offensive foul (P1, T1)
Q4|09:12||||21 SERIC M. Substitute out, 20 WEATHERS M. Substitute in
Q4|09:01|23 DANDRIDGE M. Turnover, Travelling|||
Q4|08:39|23 DANDRIDGE M. Defensive rebound|||12 OSUNNIYI O. 2PtsFG inside paint, Lay-up missed
Q4|08:16|12 KUHSE T. 2Pts FG inside paint, Lay-up made|65-50|+15|
Q4|08:10|41 PANDI L. Personal foul (P3,T1)|||20 WEATHERS M. Foul drawn
Q4|08:02|41 PANDI L. Personal foul, 2 free throws awarded (P4, T2)|||20 WEATHERS M. Foul drawn
Q4|08:02|41 PANDI L. Substitute out, 10 BROWN T. Substitute in|||
Q4|08:02||65-51|+14|20 WEATHERS M. Free Throw made 1 of 2
Q4|08:02||65-52|+13|20 WEATHERS M. Free Throw made 2 of 2
Q4|07:46|23 DANDRIDGE M. Turnover, 3 seconds|||
Q4|07:25|10 BROWN T. Steal|||20 WEATHERS M. Turnover, Ball handling
Q4|07:20|5 BAMBA T. 2PtsFG fast break, Lay-up made, 10 BROWN T. Assist|67-52|+15|
Q4|07:09||67-54|+13|12 OSUNNIYI O. 2PtsFG inside paint, Dunk made, 0 HORNE D. Assist
Q4|06:57||||12 OSUNNIYI O. Substitute out, 15 KEBEN M. Substitute in
Q4|06:57|6 VAN SLOOTEN L. Substitute out, 11 VERGE JR. A. Substitute in|||
Q4|06:57|23 DANDRIDGE M. Substitute out, 21 THIEMANN L. Substitute in|||
Q4|06:57||||WEATHERS M. Substitute out, 21 SERIC M. Substitute in
Q4|06:43|10 BROWN T. Defensive rebound|||6 FLOWERS M. 3Pts FG missed
Q4|06:32|11 VERGE JR. A. Offensive foul (P1,T3)|||20 WEATHERS M. Foul drawn
Q4|06:32||||6 FLOWERS M. Substitute out, 10 WILLIAMSON S. Substitute in
Q4|06:22|5 BAMBA T. Personal foul (P4,T4)|||15 KEBEN M. Foul drawn
Q4|06:21|5 BAMBA T. Substitute out, 9 FERNER J. Substitute in|||
Q4|06:20||||21 SERIC M. Offensive foul (P2,T2)
Q4|06:20|11 VERGE JR. A. Foul drawn|||
Q4|06:06||||20 WEATHERS M. Personal foul, 2 free throws awarded (P4,T3)
Q4|06:06|11 VERGE JR. A. Foul drawn|||
Q4|06:06||||21 SERIC M. Substitute out, 00 WEATHERS M. Substitute in
Q4|06:06|11 VERGE JR. A. Free Throw made 1 of 2|68-54|+14|
Q4|06:06|11 VERGE JR. A. Free Throw made 2 of 2|69-54|+15|
Q4|05:53|9 FERNER J. Personal foul, 2 free throws awarded (P3,T5)|||WEATHERS M. Foul drawn
Q4|05:53||69-55|+14|WEATHERS M. Free Throw made 1 of 2
Q4|05:53||||WEATHERS M. Free Throw missed 2 of 2
Q4|05:51|Defensive Team rebound|||
Q4|05:51||||10 WILLIAMSON S. Personal foul (P3, T4)
Q4|05:51|9 FERNER J. Foul drawn|||
Q4|05:40||||0 HORNE D. Personal foul, 2 freethrows awarded (P4,T5)
Q4|05:40|9 FERNER J. Foul drawn|||
Q4|05:40|9 FERNER J. Free Throw missed 1 of 2|||
Q4|05:40|9 FERNER J. Free Throw missed 2 of 2|||00 WEATHERS M. Defensive rebound
Q4|05:17||||20 WEATHERS M. 3PtsFG missed, 15 KEBEN M. Offensive rebound
